token,snomed_concept_id,csv_snomed_fsn,rf2_fsn,concept_active,status,notes
sick.hpi.appearance.irritable,55929007,Feeling irritable (finding),Feeling irritable (finding),,ok,
sick.hpi.appearance.lethargic,214264003,Lethargy (finding),Lethargy (finding),,ok,
sick.hpi.appearance.tired,84229001,Fatigue (finding),Fatigue (finding),,ok,
sick.hpi.breathing.fast,271823003,Tachypnea (finding),Tachypnea (finding),,ok,
sick.hpi.breathing.labored,267036007,Dyspnea (finding),Dyspnea (finding),,ok,
sick.hpi.complaint.abdominal_pain,21522001,Abdominal pain (finding),Abdominal pain (finding),,ok,
sick.hpi.complaint.cough,49727002,Cough (finding),Cough (finding),,ok,
sick.hpi.complaint.diarrhea,62315008,Diarrhea (finding),Diarrhea (finding),,ok,
sick.hpi.complaint.fever,386661006,Fever (finding),Fever (finding),,ok,
sick.hpi.complaint.headache,25064002,Headache (finding),Headache (finding),,ok,
sick.hpi.complaint.rash,271807003,Rash (finding),Eruption of skin (disorder),,fsn_mismatch,
sick.hpi.complaint.runny_nose,64531003,Rhinorrhea (finding),Nasal discharge (finding),,fsn_mismatch,
sick.hpi.complaint.vomiting,422400008,Vomiting (finding),Vomiting (disorder),,fsn_mismatch,
sick.hpi.feeding.decreased,79890006,Decreased appetite (finding),Loss of appetite (finding),,fsn_mismatch,
sick.hpi.feeding.refuses,364652002,Refusal to feed (finding),Infant feeding pattern (observable entity),,fsn_mismatch,
sick.hpi.stools.bloody_diarrhea,95545007,Bloody diarrhea (finding),Hemorrhagic diarrhea (disorder),,fsn_mismatch,
sick.hpi.stools.hard,75295004,Hard stool (finding),Hard stool (finding),,ok,
sick.hpi.stools.liquid,62315008,Diarrhea (finding),Diarrhea (finding),,ok,
sick.hpi.urination.decreased,83128009,Oliguria (finding),Oliguria (finding),,ok,
sick.hpi.urination.foul_smelling,278017001,Foul smelling urine (finding),Malodorous urine (finding),,fsn_mismatch,
sick.hpi.urination.painful,49650001,Dysuria (finding),Dysuria (finding),,ok,
sick.pe.abdomen.distended,41931001,Abdominal distension (finding),Distension of abdomen (finding),,fsn_mismatch,
sick.pe.abdomen.epigastric_pain,119416008,Epigastric pain (finding),Epigastric discomfort (finding),,fsn_mismatch,
sick.pe.abdomen.guarding,249545003,Abdominal guarding (finding),Abdominal guarding (finding),,ok,
sick.pe.abdomen.hypogastric_pain,30473006,Hypogastric pain (finding),Pain in pelvis (finding),,fsn_mismatch,
sick.pe.abdomen.llq_pain,301716002,Left lower quadrant pain (finding),Left lower quadrant pain (finding),,ok,
sick.pe.abdomen.periumbilical_pain,443503005,Periumbilical pain (finding),Periumbilical pain (finding),,ok,
sick.pe.abdomen.rebound,35611005,Rebound tenderness (finding),Rebound tenderness (finding),,ok,
sick.pe.abdomen.rlq_pain,301754002,Right lower quadrant pain (finding),Right lower quadrant pain (finding),,ok,
sick.pe.abdomen.tender,43478001,Abdominal tenderness (finding),Abdominal tenderness (finding),,ok,
sick.pe.color.pale,1209208002,Pallor (finding),Pallor of skin of face (finding),,fsn_mismatch,
sick.pe.color.yellow,18165001,Jaundice (finding),Jaundice (finding),,ok,
sick.pe.ear.pus_in_canal,65668001,Otorrhea (finding),Otorrhea (disorder),,fsn_mismatch,
sick.pe.ear.red_and_bulging_with_pus,271742008,Bulging tympanic membrane (finding),Bulging tympanic membrane (finding),,ok,
sick.pe.ear.red_canal,277172003,Erythema of external auditory canal (finding),Erythematous ear canal (finding),,fsn_mismatch,
sick.pe.ear.red_tm,164236006,Erythematous tympanic membrane (finding),On examination - tympanic membrane red (finding),,fsn_mismatch,
sick.pe.ent.congested_nose,68235000,Nasal congestion (finding),Nasal congestion (finding),,ok,
sick.pe.ent.ear_discharge,65668001,Otorrhea (finding),Otorrhea (disorder),,fsn_mismatch,
sick.pe.ent.red_throat,126662008,Erythema of pharynx (finding),Redness of throat (finding),,fsn_mismatch,
sick.pe.ent.tonsil_deposits,90176007,Tonsillar exudate (finding),Tonsillitis (disorder),,fsn_mismatch,
sick.pe.eye.crusty,1141807004,Crusting of eyelid (finding),Crusting of skin of eyelid (finding),,fsn_mismatch,
sick.pe.eye.discharge,246679005,Discharge from eye (finding),Discharge from eye (finding),,ok,
sick.pe.eye.eyelid_swelling,193967004,Swelling of eyelid (finding),Swelling of eyelid (finding),,ok,
sick.pe.eye.red,193894004,Conjunctival hyperemia (finding),Conjunctival hyperemia (finding),,ok,
sick.pe.general_appearance.irritable,162725004,Irritable (finding),On examination - irritable (finding),,fsn_mismatch,
sick.pe.general_appearance.lethargic,271782001,Lethargy (finding),Drowsy (finding),,fsn_mismatch,
sick.pe.general_appearance.tired,84229001,Fatigue (finding),Fatigue (finding),,ok,
sick.pe.genitalia.discharge,248952001,Discharge from female genitalia (finding),Discharge from female genitalia (finding),,ok,
sick.pe.genitalia.redness,442279002,Erythema of genitalia (finding),Rash of genitalia (disorder),,fsn_mismatch,
sick.pe.genitalia.swelling,198068005,Male genital organ edema (disorder),Male genital organ edema (disorder),,ok,
sick.pe.heart.bradycardia,48867003,Bradycardia (finding),Bradycardia (finding),,ok,
sick.pe.heart.murmur,88610006,Heart murmur (finding),Heart murmur (finding),,ok,
sick.pe.heart.tachycardia,3424008,Tachycardia (finding),Tachycardia (finding),,ok,
sick.pe.hydration.decreased,34095006,Dehydration (disorder),Dehydration (disorder),,ok,
sick.pe.lungs.crackles,48409008,Respiratory crackles (finding),Respiratory crackles (finding),,ok,
sick.pe.lungs.crackles_l,48409008,Respiratory crackles (finding),Respiratory crackles (finding),,ok,
sick.pe.lungs.crackles_r,48409008,Respiratory crackles (finding),Respiratory crackles (finding),,ok,
sick.pe.lungs.decreased_sounds,58840004,Decreased breath sounds (finding),Decreased breath sounds (finding),,ok,
sick.pe.lungs.decreased_sounds_l,58840004,Decreased breath sounds (finding),Decreased breath sounds (finding),,ok,
sick.pe.lungs.decreased_sounds_r,58840004,Decreased breath sounds (finding),Decreased breath sounds (finding),,ok,
sick.pe.lungs.rhonchi,268929007,Rhonchi (finding),On examination - rhonchi present (finding),,fsn_mismatch,
sick.pe.lungs.rhonchi_l,268929007,Rhonchi (finding),On examination - rhonchi present (finding),,fsn_mismatch,
sick.pe.lungs.rhonchi_r,268929007,Rhonchi (finding),On examination - rhonchi present (finding),,fsn_mismatch,
sick.pe.lungs.wheeze,56018004,Wheezing (finding),Wheezing (finding),,ok,
sick.pe.lungs.wheeze_l,56018004,Wheezing (finding),Wheezing (finding),,ok,
sick.pe.lungs.wheeze_r,56018004,Wheezing (finding),Wheezing (finding),,ok,
sick.pe.lymph_nodes.cervical,127086001,Cervical lymphadenopathy (disorder),Cervical lymphadenopathy (disorder),,ok,
sick.pe.lymph_nodes.generalized,274741002,Generalized lymphadenopathy (disorder),Generalized enlarged lymph nodes (disorder),,fsn_mismatch,
sick.pe.lymph_nodes.submandibular,127082004,Submandibular lymphadenopathy (disorder),Submandibular lymphadenopathy (disorder),,ok,
sick.pe.lymph_nodes.tender,300942003,Tender lymph node (finding),Tenderness of lymph node (finding),,fsn_mismatch,
sick.pe.musculoskeletal.limping,16973004,Limping (finding),Limping (finding),,ok,
sick.pe.musculoskeletal.pain,22253000,Pain (finding),Pain (finding),,ok,
sick.pe.musculoskeletal.swollen_joint,271771009,Joint swelling (finding),Joint swelling (finding),,ok,
sick.pe.neurological.abnormal_tone,398152000,Poor muscle tone (finding),Poor muscle tone (finding),,ok,
sick.pe.neurological.irritable,55929007,Feeling irritable (finding),Feeling irritable (finding),,ok,
sick.pe.neurological.sleepy,271782001,Drowsy (finding),Drowsy (finding),,ok,
sick.pe.peristalsis.decreased,15280003,Decreased bowel sounds (finding),Decreased bowel sounds (finding),,ok,
sick.pe.peristalsis.increased,80306002,Increased peristalsis (finding),Increased peristalsis (finding),,ok,
sick.pe.skin.dry_scaly_rash,260046006,Dry skin dermatitis (disorder),Dry skin dermatitis (disorder),,ok,
sick.pe.skin.macular_rash,271807003,Rash (finding),Eruption of skin (disorder),,fsn_mismatch,
sick.pe.skin.maculopapular_rash,247471006,Maculopapular rash (finding),Maculopapular eruption (disorder),,fsn_mismatch,
sick.pe.skin.papular_rash,271757001,Papular eruption (disorder),Papular eruption (disorder),,ok,
sick.pe.skin.petechiae,271813007,Petechiae (finding),Petechiae (disorder),,fsn_mismatch,
sick.pe.skin.purpura,387778001,Purpura (finding),Purpuric disorder (disorder),,fsn_mismatch,
